Country Name,Country Code,Series,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020]
Angola,AGO,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
Angola,AGO,"Labor force, total",SL.TLF.TOTL.IN,12705486,13164510,..
Antigua and Barbuda,ATG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
Antigua and Barbuda,ATG,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Antigua and Barbuda,ATG,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
Antigua and Barbuda,ATG,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
Antigua and Barbuda,ATG,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
Antigua and Barbuda,ATG,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
Antigua and Barbuda,ATG,"Labor force, total",SL.TLF.TOTL.IN,..,..,..
Arab World,ARB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
Arab World,ARB,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Arab World,ARB,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
Arab World,ARB,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
Arab World,ARB,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
Arab World,ARB,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
Arab World,ARB,"Labor force, total",SL.TLF.TOTL.IN,..,..,..
Argentina,ARG,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
Argentina,ARG,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Argentina,ARG,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
Argentina,ARG,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,79.5768966674805,..,..
Argentina,ARG,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,48.4580001831055,..,..
Argentina,ARG,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,66.0856018066406,..,..
Argentina,ARG,"Labor force, total",SL.TLF.TOTL.IN,20551682,20755018,..
Armenia,ARM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
Armenia,ARM,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Armenia,ARM,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
Armenia,ARM,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
Armenia,ARM,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
Armenia,ARM,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
Armenia,ARM,"Labor force, total",SL.TLF.TOTL.IN,1303093,1303827,..
Aruba,ABW,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
Aruba,ABW,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Aruba,ABW,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
Aruba,ABW,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
Aruba,ABW,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
Aruba,ABW,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
Aruba,ABW,"Labor force, total",SL.TLF.TOTL.IN,..,..,..
Australia,AUS,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
Australia,AUS,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Australia,AUS,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
Australia,AUS,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
Australia,AUS,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
Australia,AUS,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
Australia,AUS,"Labor force, total",SL.TLF.TOTL.IN,13254463,13382706,..
Austria,AUT,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
Austria,AUT,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Austria,AUT,Internet users (per 100 people),IT.NET.USER.P2,87.71046495,..,..
Austria,AUT,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,76.7076034545898,..,..
Austria,AUT,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,36.9096984863281,..,..
Austria,AUT,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,63.9790000915527,..,..
Austria,AUT,"Labor force, total",SL.TLF.TOTL.IN,4601213,4607129,..
Azerbaijan,AZE,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.45543,..,..
Azerbaijan,AZE,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,0,..,..
Azerbaijan,AZE,Internet users (per 100 people),IT.NET.USER.P2,79.79999549,..,..
Azerbaijan,AZE,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
Azerbaijan,AZE,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
Azerbaijan,AZE,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
Azerbaijan,AZE,"Labor force, total",SL.TLF.TOTL.IN,5091068,5107354,..
"Bahamas, The",BHS,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
"Bahamas, The",BHS,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
"Bahamas, The",BHS,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
"Bahamas, The",BHS,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
"Bahamas, The",BHS,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
"Bahamas, The",BHS,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
"Bahamas, The",BHS,"Labor force, total",SL.TLF.TOTL.IN,223064,225914,..
Bahrain,BHR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
Bahrain,BHR,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Bahrain,BHR,Internet users (per 100 people),IT.NET.USER.P2,98.64342901,..,..
Bahrain,BHR,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
Bahrain,BHR,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
Bahrain,BHR,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
Bahrain,BHR,"Labor force, total",SL.TLF.TOTL.IN,926959,978649,..
Bangladesh,BGD,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,1.32632,..
Bangladesh,BGD,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,0,..
Bangladesh,BGD,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
Bangladesh,BGD,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
Bangladesh,BGD,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
Bangladesh,BGD,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
Bangladesh,BGD,"Labor force, total",SL.TLF.TOTL.IN,68791250,70009353,..
Barbados,BRB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
Barbados,BRB,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Barbados,BRB,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
Barbados,BRB,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
Barbados,BRB,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
Barbados,BRB,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
Barbados,BRB,"Labor force, total",SL.TLF.TOTL.IN,155314,155240,..
Belarus,BLR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
Belarus,BLR,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Belarus,BLR,Internet users (per 100 people),IT.NET.USER.P2,79.12988669,..,..
Belarus,BLR,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
Belarus,BLR,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
Belarus,BLR,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
Belarus,BLR,"Labor force, total",SL.TLF.TOTL.IN,5087320,5036848,..
Belgium,BEL,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
Belgium,BEL,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Belgium,BEL,Internet users (per 100 people),IT.NET.USER.P2,88.65506428,..,..
Belgium,BEL,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,75.0718002319336,..,..
Belgium,BEL,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,27.7000007629395,..,..
Belgium,BEL,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,59.4768981933594,..,..
Belgium,BEL,"Labor force, total",SL.TLF.TOTL.IN,5092514,5100709,..
Belize,BLZ,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,7.56149,..,..
Belize,BLZ,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,19.92573,..,..
Belize,BLZ,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
Belize,BLZ,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
Belize,BLZ,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
Belize,BLZ,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
Belize,BLZ,"Labor force, total",SL.TLF.TOTL.IN,173515,178253,..
Benin,BEN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.93397,..,..
Benin,BEN,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Benin,BEN,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
Benin,BEN,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
Benin,BEN,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
Benin,BEN,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
Benin,BEN,"Labor force, total",SL.TLF.TOTL.IN,4678297,4833197,..
Bermuda,BMU,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
Bermuda,BMU,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Bermuda,BMU,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
Bermuda,BMU,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
Bermuda,BMU,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
Bermuda,BMU,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
Bermuda,BMU,"Labor force, total",SL.TLF.TOTL.IN,..,..,..
Bhutan,BTN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,6.85084,..,..
Bhutan,BTN,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Bhutan,BTN,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
Bhutan,BTN,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
Bhutan,BTN,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
Bhutan,BTN,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
Bhutan,BTN,"Labor force, total",SL.TLF.TOTL.IN,371964,379603,..
Bolivia,BOL,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
Bolivia,BOL,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Bolivia,BOL,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
Bolivia,BOL,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,79.4982986450195,..,..
Bolivia,BOL,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,67.7080993652344,..,..
Bolivia,BOL,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,66.7072982788086,..,..
Bolivia,BOL,"Labor force, total",SL.TLF.TOTL.IN,5631725,5735705,..
Bosnia and Herzegovina,BIH,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
Bosnia and Herzegovina,BIH,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Bosnia and Herzegovina,BIH,Internet users (per 100 people),IT.NET.USER.P2,70.12013504,..,..
Bosnia and Herzegovina,BIH,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,76.5640029907227,74.5967025756836,..
Bosnia and Herzegovina,BIH,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,21.1453990936279,22.0107002258301,..
Bosnia and Herzegovina,BIH,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,54.1823997497559,53.3377990722656,..
Bosnia and Herzegovina,BIH,"Labor force, total",SL.TLF.TOTL.IN,1319691,1306483,..
Botswana,BWA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
Botswana,BWA,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Botswana,BWA,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
Botswana,BWA,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
Botswana,BWA,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
Botswana,BWA,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
Botswana,BWA,"Labor force, total",SL.TLF.TOTL.IN,1049545,1080713,..
Brazil,BRA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
Brazil,BRA,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Brazil,BRA,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
Brazil,BRA,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,81.1241989135742,81.3693008422852,..
Brazil,BRA,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,47.8745994567871,47.3036994934082,..
Brazil,BRA,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,74.0128021240234,74.4577026367188,..
Brazil,BRA,"Labor force, total",SL.TLF.TOTL.IN,105542232,106500376,..
British Virgin Islands,VGB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.46599,..,..
British Virgin Islands,VGB,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,0,0,..
British Virgin Islands,VGB,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
British Virgin Islands,VGB,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
British Virgin Islands,VGB,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
British Virgin Islands,VGB,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
British Virgin Islands,VGB,"Labor force, total",SL.TLF.TOTL.IN,..,..,..
Brunei Darussalam,BRN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
Brunei Darussalam,BRN,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Brunei Darussalam,BRN,Internet users (per 100 people),IT.NET.USER.P2,94.60004747,..,..
Brunei Darussalam,BRN,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,84.1206970214844,..,..
Brunei Darussalam,BRN,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,55.4581985473633,..,..
Brunei Darussalam,BRN,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,67.9068984985352,..,..
Brunei Darussalam,BRN,"Labor force, total",SL.TLF.TOTL.IN,214427,217318,..
Bulgaria,BGR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
Bulgaria,BGR,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Bulgaria,BGR,Internet users (per 100 people),IT.NET.USER.P2,64.78201069,..,..
Bulgaria,BGR,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,74.2959976196289,..,..
Bulgaria,BGR,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,27.0280990600586,..,..
Bulgaria,BGR,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,61.165901184082,..,..
Bulgaria,BGR,"Labor force, total",SL.TLF.TOTL.IN,3327614,3292122,..
Burkina Faso,BFA,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.38379,..,..
Burkina Faso,BFA,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Burkina Faso,BFA,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
Burkina Faso,BFA,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
Burkina Faso,BFA,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
Burkina Faso,BFA,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
Burkina Faso,BFA,"Labor force, total",SL.TLF.TOTL.IN,7238229,7468061,..
Burundi,BDI,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,5.07865,..,..
Burundi,BDI,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Burundi,BDI,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
Burundi,BDI,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
Burundi,BDI,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
Burundi,BDI,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
Burundi,BDI,"Labor force, total",SL.TLF.TOTL.IN,4822373,4983536,..
Cabo Verde,CPV,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
Cabo Verde,CPV,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Cabo Verde,CPV,Internet users (per 100 people),IT.NET.USER.P2,58.17137201,..,..
Cabo Verde,CPV,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,70.6100006103516,..,..
Cabo Verde,CPV,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,60.3300018310547,..,..
Cabo Verde,CPV,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,58.939998626709,..,..
Cabo Verde,CPV,"Labor force, total",SL.TLF.TOTL.IN,233404,238193,..
Cambodia,KHM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,2.16286,..,..
Cambodia,KHM,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Cambodia,KHM,Internet users (per 100 people),IT.NET.USER.P2,40,..,..
Cambodia,KHM,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
Cambodia,KHM,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
Cambodia,KHM,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
Cambodia,KHM,"Labor force, total",SL.TLF.TOTL.IN,9191221,9350757,..
Cameroon,CMR,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,3.1312,..,..
Cameroon,CMR,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Cameroon,CMR,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
Cameroon,CMR,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
Cameroon,CMR,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
Cameroon,CMR,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
Cameroon,CMR,"Labor force, total",SL.TLF.TOTL.IN,11023646,11346288,..
Canada,CAN,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
Canada,CAN,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Canada,CAN,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
Canada,CAN,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,74.6483993530273,74.6698989868164,..
Canada,CAN,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,43.5332984924316,43.7914009094238,..
Canada,CAN,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,61.7892990112305,61.994499206543,..
Canada,CAN,"Labor force, total",SL.TLF.TOTL.IN,20344918,20466131,..
Caribbean small states,CSS,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
Caribbean small states,CSS,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Caribbean small states,CSS,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
Caribbean small states,CSS,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
Caribbean small states,CSS,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
Caribbean small states,CSS,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
Caribbean small states,CSS,"Labor force, total",SL.TLF.TOTL.IN,..,..,..
Cayman Islands,CYM,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
Cayman Islands,CYM,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Cayman Islands,CYM,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
Cayman Islands,CYM,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
Cayman Islands,CYM,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
Cayman Islands,CYM,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
Cayman Islands,CYM,"Labor force, total",SL.TLF.TOTL.IN,..,..,..
Central African Republic,CAF,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
Central African Republic,CAF,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
Central African Republic,CAF,Internet users (per 100 people),IT.NET.USER.P2,..,..,..
Central African Republic,CAF,Labor force with advanced education (% of total labor force),SL.TLF.ADVN.ZS,..,..,..
Central African Republic,CAF,Labor force with basic education (% of total labor force),SL.TLF.BASC.ZS,..,..,..
Central African Republic,CAF,Labor force with intermediate education (% of total labor force ),SL.TLF.INTM.ZS,..,..,..
Central African Republic,CAF,"Labor force, total",SL.TLF.TOTL.IN,1871101,1915442,..
Central Europe and the Baltics,CEB,Government expenditure on education as % of GDP (%),SE.XPD.TOTL.GD.ZS,..,..,..
Central Europe and the Baltics,CEB,"Government expenditure on education not specified by level, US$ (millions)",UIS.X.US.UK.FSGOV,..,..,..
