Series Name,Series Code,Country Name,Country Code,2018 [YR2018],2019 [YR2019],2020 [YR2020]
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Guinea-Bissau,GNB,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Guyana,GUY,0.34445328,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Haiti,HTI,0.24991225,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Heavily indebted poor countries (HIPC),HPC,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,High income,HIC,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Honduras,HND,0.08259878,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,"Hong Kong SAR, China",HKG,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Hungary,HUN,0.17781948,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,IBRD only,IBD,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Iceland,ISL,0.36824074,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,IDA & IBRD total,IBT,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,IDA blend,IDB,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,IDA only,IDX,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,IDA total,IDA,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,India,IND,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Indonesia,IDN,0.22806972,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,"Iran, Islamic Rep.",IRN,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Iraq,IRQ,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Ireland,IRL,0.37433535,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Isle of Man,IMN,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Israel,ISR,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Italy,ITA,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Jamaica,JAM,0.10619245,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Japan,JPN,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Jordan,JOR,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Kazakhstan,KAZ,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Kenya,KEN,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Kiribati,KIR,0.18147698,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,"Korea, Dem. People's Rep.",PRK,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,"Korea, Rep.",KOR,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Kosovo,XKX,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Kuwait,KWT,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Kyrgyz Republic,KGZ,0.22961576,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Lao PDR,LAO,0.40121642,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Late-demographic dividend,LTE,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Latin America & Caribbean,LCN,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Latin America & Caribbean (excluding high income),LAC,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Latin America & the Caribbean (IDA & IBRD countries),TLA,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Latvia,LVA,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Least developed countries: UN classification,LDC,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Lebanon,LBN,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Lesotho,LSO,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Liberia,LBR,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Libya,LBY,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Liechtenstein,LIE,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Lithuania,LTU,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Low & middle income,LMY,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Low income,LIC,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Lower middle income,LMC,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Luxembourg,LUX,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,"Macao SAR, China",MAC,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Madagascar,MDG,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Malawi,MWI,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Malaysia,MYS,0.14910361,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Maldives,MDV,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Mali,MLI,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Malta,MLT,0.25724989,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Marshall Islands,MHL,0.49105608,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Mauritania,MRT,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Mauritius,MUS,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Mexico,MEX,0.08385061,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,"Micronesia, Fed. Sts.",FSM,0.43085134,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Middle East & North Africa,MEA,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Middle East & North Africa (excluding high income),MNA,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Middle East & North Africa (IDA & IBRD countries),TMN,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Middle income,MIC,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Moldova,MDA,0.44828114,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Monaco,MCO,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Mongolia,MNG,0.34354049,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Montenegro,MNE,0.07872266,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Morocco,MAR,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Mozambique,MOZ,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Myanmar,MMR,0.28431067,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Namibia,NAM,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Nauru,NRU,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Nepal,NPL,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Netherlands,NLD,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,New Caledonia,NCL,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,New Zealand,NZL,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Nicaragua,NIC,0.36062568,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Niger,NER,0.47424015,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Nigeria,NGA,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,North America,NAC,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,North Macedonia,MKD,0.07391416,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Northern Mariana Islands,MNP,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Norway,NOR,0.48195058,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Not classified,INX,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,OECD members,OED,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Oman,OMN,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Other small states,OSS,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Pacific island small states,PSS,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Pakistan,PAK,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Palau,PLW,0.08450704,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Panama,PAN,0.85389894,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Papua New Guinea,PNG,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Paraguay,PRY,0.17139193,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Peru,PER,0.33155751,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Philippines,PHL,0.18494439,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Poland,POL,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Portugal,PRT,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Post-demographic dividend,PST,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Pre-demographic dividend,PRE,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Puerto Rico,PRI,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Qatar,QAT,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Romania,ROU,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Russian Federation,RUS,0.13339847,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Rwanda,RWA,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Samoa,WSM,0.00166145,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,San Marino,SMR,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Sao Tome and Principe,STP,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Saudi Arabia,SAU,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Senegal,SEN,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Serbia,SRB,0.28485912,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Seychelles,SYC,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Sierra Leone,SLE,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Singapore,SGP,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Sint Maarten (Dutch part),SXM,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Slovak Republic,SVK,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Slovenia,SVN,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Small states,SST,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Solomon Islands,SLB,0.18151383,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Somalia,SOM,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,South Africa,ZAF,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,South Asia,SAS,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,South Asia (IDA & IBRD),TSA,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,South Sudan,SSD,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Spain,ESP,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Sri Lanka,LKA,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,St. Kitts and Nevis,KNA,0.23270385,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,St. Lucia,LCA,0.11406481,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,St. Martin (French part),MAF,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,St. Vincent and the Grenadines,VCT,0.08629908,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Sub-Saharan Africa,SSF,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Sub-Saharan Africa (excluding high income),SSA,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Sub-Saharan Africa (IDA & IBRD countries),TSS,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Sudan,SDN,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Suriname,SUR,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Sweden,SWE,0.58554697,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Switzerland,CHE,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Syrian Arab Republic,SYR,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Tajikistan,TJK,0.22357801,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Tanzania,TZA,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Thailand,THA,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Timor-Leste,TLS,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Togo,TGO,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Tonga,TON,0.12614785,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Trinidad and Tobago,TTO,0.20265236,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Tunisia,TUN,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Turkey,TUR,0.27235103,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Turkmenistan,TKM,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Turks and Caicos Islands,TCA,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Tuvalu,TUV,0.50281966,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Uganda,UGA,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Ukraine,UKR,0.28282753,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,United Arab Emirates,ARE,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,United Kingdom,GBR,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,United States,USA,0.59184301,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Upper middle income,UMC,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Uruguay,URY,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Uzbekistan,UZB,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Vanuatu,VUT,0.04151407,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,"Venezuela, RB",VEN,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Vietnam,VNM,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Virgin Islands (U.S.),VIR,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,West Bank and Gaza,PSE,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,World,WLD,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,"Yemen, Rep.",YEM,..,..,..
Capital health expenditure (% of GDP),SH.XPD.KHEX.GD.ZS,Zambia,ZMB,..,..,..
