location,iso_code,Unemployment_percent,Vulnerable_employ_percent,unemploy_year
GUINEA-BISSAU,GNB,6.14,65.22,2016
GUYANA,GUY,11.76,29.69,2016
HAITI,HTI,14.00,87.50,2016
HEAVILY INDEBTED POOR COUNTRIES (HIPC),HPC,5.45,73.88,2016
HIGH INCOME,HIC,6.23,10.39,2016
HONDURAS,HND,4.67,37.18,2016
"HONG KONG SAR, CHINA",HKG,3.35,5.99,2016
HUNGARY,HUN,5.11,5.82,2016
ICELAND,ISL,2.98,7.94,2016
INDIA,IND,3.51,77.54,2016
INDONESIA,IDN,4.12,47.57,2016
"IRAN, ISLAMIC REP.",IRN,12.43,41.47,2016
IRAQ,IRQ,7.91,35.31,2016
IRELAND,IRL,7.89,12.25,2016
ISLE OF MAN,IMN,,,2016
ISRAEL,ISR,4.80,12.26,2016
ITALY,ITA,11.69,17.50,2016
JAMAICA,JAM,13.19,37.85,2016
JAPAN,JPN,3.13,8.60,2016
JORDAN,JOR,15.27,9.56,2016
KAZAKHSTAN,KAZ,4.96,25.15,2016
KENYA,KEN,11.52,54.48,2016
KIRIBATI,KIR,,,2016
"KOREA, DEM. PEOPLE’S REP.",PRK,4.72,65.97,2016
"KOREA, REP.",KOR,3.71,24.11,2016
KOSOVO,XKX,,,2016
KUWAIT,KWT,2.23,1.89,2016
KYRGYZ REPUBLIC,KGZ,7.21,36.62,2016
LAO PDR,LAO,0.66,82.85,2016
LATIN AMERICA & CARIBBEAN,LCN,7.76,31.95,2016
LATIN AMERICA & CARIBBEAN (EXCLUDING HIGH INCOME),LAC,7.73,33.18,2016
LATVIA,LVA,9.64,8.66,2016
LEAST DEVELOPED COUNTRIES: UN CLASSIFICATION,LDC,5.25,70.42,2016
LEBANON,LBN,6.58,25.84,2016
LESOTHO,LSO,27.78,59.08,2016
LIBERIA,LBR,2.34,77.76,2016
LIBYA,LBY,18.42,36.58,2016
LIECHTENSTEIN,LIE,,,2016
LITHUANIA,LTU,7.86,10.00,2016
LOW & MIDDLE INCOME,LMY,5.38,49.42,2016
LOW INCOME,LIC,5.69,74.88,2016
LOWER MIDDLE INCOME,LMC,4.49,63.35,2016
LUXEMBOURG,LUX,6.29,6.16,2016
"MACAO SAR, CHINA",MAC,1.91,3.48,2016
"MACEDONIA, FYR",MKD,23.72,22.61,2016
MADAGASCAR,MDG,1.80,85.40,2016
MALAWI,MWI,5.86,59.90,2016
MALAYSIA,MYS,3.44,22.18,2016
MALDIVES,MDV,5.03,20.83,2016
MALI,MLI,7.81,88.06,2016
MALTA,MLT,4.70,8.99,2016
MARSHALL ISLANDS,MHL,,,2016
MAURITANIA,MRT,9.84,45.00,2016
MAURITIUS,MUS,7.30,16.17,2016
MEXICO,MEX,3.88,27.16,2016
"MICRONESIA, FED. STS.",FSM,,,2016
MIDDLE EAST & NORTH AFRICA,MEA,10.22,26.25,2016
MIDDLE EAST & NORTH AFRICA (EXCLUDING HIGH INCOME),MNA,11.95,32.88,2016
MIDDLE INCOME,MIC,5.34,46.39,2016
MOLDOVA,MDA,4.18,28.72,2016
MONACO,MCO,,,2016
MONGOLIA,MNG,7.24,46.93,2016
MONTENEGRO,MNE,17.70,11.74,2016
MOROCCO,MAR,9.40,50.86,2016
MOZAMBIQUE,MOZ,25.15,84.67,2016
MYANMAR,MMR,0.78,58.26,2016
NAMIBIA,NAM,23.35,25.31,2016
NAURU,NRU,,,2016
NEPAL,NPL,3.06,78.92,2016
NETHERLANDS,NLD,6.01,12.81,2016
NEW CALEDONIA,NCL,14.62,8.67,2016
NEW ZEALAND,NZL,5.11,12.21,2016
NICARAGUA,NIC,4.45,39.50,2016
NIGER,NER,0.34,88.56,2016
NIGERIA,NGA,7.06,80.28,2016
NORTH AMERICA,NAC,5.10,6.67,2016
NORTHERN MARIANA ISLANDS,MNP,,,2016
NORWAY,NOR,4.68,5.17,2016
OECD MEMBERS,OED,6.32,,2016
OMAN,OMN,3.27,9.05,2016
PAKISTAN,PAK,3.84,59.69,2016
PALAU,PLW,,,2016
PANAMA,PAN,4.35,32.25,2016
PAPUA NEW GUINEA,PNG,2.64,74.74,2016
PARAGUAY,PRY,5.25,39.07,2016
PERU,PER,3.53,50.37,2016
PHILIPPINES,PHL,2.71,35.44,2016
POLAND,POL,6.16,16.77,2016
PORTUGAL,PRT,11.07,13.01,2016
PUERTO RICO,PRI,11.78,15.47,2016
QATAR,QAT,0.14,0.16,2016
ROMANIA,ROU,5.90,25.57,2016
RUSSIAN FEDERATION,RUS,5.54,6.21,2016
RWANDA,RWA,1.23,80.02,2016
SAMOA,WSM,8.49,31.85,2016
SAN MARINO,SMR,,,2016
SAO TOME AND PRINCIPE,STP,13.42,34.35,2016
SAUDI ARABIA,SAU,5.65,2.99,2016
SENEGAL,SEN,4.85,44.37,2016
SERBIA,SRB,15.26,28.06,2016
SEYCHELLES,SYC,,,2016
SIERRA LEONE,SLE,4.60,87.64,2016
SINGAPORE,SGP,1.80,8.30,2016
SINT MAARTEN (DUTCH PART),SXM,,,2016
SLOVAK REPUBLIC,SVK,9.67,12.23,2016
SLOVENIA,SVN,8.00,10.55,2016
SOLOMON ISLANDS,SLB,2.04,62.30,2016
SOMALIA,SOM,6.02,72.28,2016
SOUTH AFRICA,ZAF,26.55,9.61,2016
SOUTH ASIA,SAS,3.70,73.24,2016
SOUTH SUDAN,SSD,11.54,49.80,2016
SPAIN,ESP,19.63,12.01,2016
SRI LANKA,LKA,4.37,40.09,2016
ST. KITTS AND NEVIS,KNA,,,2016
ST. LUCIA,LCA,21.26,28.76,2016
ST. MARTIN (FRENCH PART),MAF,,,2016
ST. VINCENT AND THE GRENADINES,VCT,18.21,9.06,2016
SUB-SAHARAN AFRICA,SSF,7.26,71.26,2016
SUB-SAHARAN AFRICA (EXCLUDING HIGH INCOME),SSA,7.26,71.26,2016
SUDAN,SDN,12.73,40.35,2016
SURINAME,SUR,8.18,13.19,2016
SWEDEN,SWE,6.99,6.36,2016
SWITZERLAND,CHE,4.92,9.08,2016
SYRIAN ARAB REPUBLIC,SYR,14.78,34.86,2016
TAJIKISTAN,TJK,10.30,48.18,2016
TANZANIA,TZA,2.17,83.52,2016
THAILAND,THA,0.94,50.28,2016
TIMOR-LESTE,TLS,3.37,49.45,2016
TOGO,TGO,1.84,80.43,2016
TONGA,TON,1.10,54.25,2016
TRINIDAD AND TOBAGO,TTO,4.37,16.48,2016
TUNISIA,TUN,15.51,20.86,2016
TURKEY,TUR,10.84,27.98,2016
TURKMENISTAN,TKM,3.48,21.08,2016
TURKS AND CAICOS ISLANDS,TCA,,,2016
TUVALU,TUV,,,2016
UGANDA,UGA,2.01,74.60,2016
UKRAINE,UKR,9.35,15.70,2016
UNITED ARAB EMIRATES,ARE,1.64,0.37,2016
UNITED KINGDOM,GBR,4.81,13.06,2016
UNITED STATES,USA,4.87,6.19,2016
UPPER MIDDLE INCOME,UMC,6.09,31.12,2016
URUGUAY,URY,7.84,23.80,2016
UZBEKISTAN,UZB,7.51,25.23,2016
VANUATU,VUT,5.27,73.20,2016
"VENEZUELA, RB",VEN,7.15,30.84,2016
VIETNAM,VNM,2.10,55.90,2016
VIRGIN ISLANDS (U.S.),VIR,7.24,24.87,2016
WEST BANK AND GAZA,PSE,26.89,39.75,2016
WORLD,WLD,5.53,42.36,2016
"YEMEN, REP.",YEM,13.73,40.15,2016
ZAMBIA,ZMB,7.78,77.62,2016
ZIMBABWE,ZWE,5.05,65.23,2016
